Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
C20orf195	ENST00000370098.3	chromosome 20 open reading frame 195 	11	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.94	-0.94	N/A	NULL
ZCWPW1	ENST00000360951.4	zinc finger, CW type with PWWP domain 1 	5	1	1	0	0	1	0	1	0	0	mmu-miR-483-3p.1				-0.65	-0.65	N/A	NULL
RAMP2	ENST00000588576.1	receptor (G protein-coupled) activity modifying protein 2 	47	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.60	-0.60	N/A	NULL
HM13	ENST00000335574.5	histocompatibility (minor) 13 	4848	1	0	1	0	1	0	1	0	0	mmu-miR-483-3p.1				-0.57	-0.57	N/A	NULL
RTFDC1	ENST00000395881.3	replication termination factor 2 domain containing 1 	15783	1	0	1	0	1	0	1	0	0	mmu-miR-483-3p.1				-0.48	-0.48	N/A	NULL
FGFR2	ENST00000369061.4	fibroblast growth factor receptor 2 	75	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.46	-0.46	N/A	NULL
TP73	ENST00000378280.1	tumor protein p73 	831	1	0	1	0	2	0	2	0	0	mmu-miR-483-3p.1				-0.43	-0.46	N/A	NULL
AC174470.1	ENST00000457257.1		164	1	1	0	0	0	0	0	0	1	mmu-miR-483-3p.1				-0.42	-0.42	N/A	NULL
SLC18A1	ENST00000437980.1	solute carrier family 18 (vesicular monoamine transporter), member 1 	5	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.38	-0.38	N/A	NULL
RPS24	ENST00000435275.1	ribosomal protein S24 	39029	1	0	0	1	0	0	0	0	0	mmu-miR-483-3p.1				-0.36	-0.36	N/A	NULL
ZBTB12	ENST00000375527.2	zinc finger and BTB domain containing 12 	18	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.35	-0.52	N/A	NULL
MSL2	ENST00000309993.2	male-specific lethal 2 homolog (Drosophila) 	175	2	1	1	0	1	0	0	1	0	mmu-miR-483-3p.1				-0.35	-0.56	N/A	NULL
CTDSPL2	ENST00000260327.4	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 	457	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.34	-0.38	N/A	NULL
FBXO24	ENST00000360609.2	F-box protein 24 	19	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.34	-0.34	N/A	NULL
RGS9BP	ENST00000334176.3	regulator of G protein signaling 9 binding protein 	13	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.33	-0.33	N/A	NULL
CTNNB1	ENST00000349496.5	catenin (cadherin-associated protein), beta 1, 88kDa 	7257	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.33	-0.33	N/A	NULL
LCMT2	ENST00000567039.1	leucine carboxyl methyltransferase 2 	274	1	0	1	0	0	0	0	0	1	mmu-miR-483-3p.1				-0.33	-0.39	N/A	NULL
CDK4	ENST00000312990.6	cyclin-dependent kinase 4 	290	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.32	-0.32	N/A	NULL
IQSEC2	ENST00000375365.2	IQ motif and Sec7 domain 2 	5	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.30	-0.30	N/A	NULL
RNF32	ENST00000311822.8	ring finger protein 32 	15	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.30	-0.30	N/A	NULL
UQCR10	ENST00000401406.3	ubiquinol-cytochrome c reductase, complex III subunit X 	6196	1	0	0	1	0	0	0	0	0	mmu-miR-483-3p.1				-0.30	-0.30	N/A	NULL
GAP43	ENST00000305124.6	growth associated protein 43 	5	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.30	-0.30	N/A	NULL
TAL1	ENST00000371884.2	T-cell acute lymphocytic leukemia 1 	5	1	1	0	0	0	0	0	0	2	mmu-miR-483-3p.1				-0.29	-0.29	N/A	NULL
AHR	ENST00000242057.4	aryl hydrocarbon receptor 	25	1	0	1	0	1	0	1	0	1	mmu-miR-483-3p.1				-0.28	-0.28	N/A	NULL
MDM4	ENST00000391947.2	Mdm4 p53 binding protein homolog (mouse) 	443	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.28	-0.28	N/A	NULL
U2AF2	ENST00000450554.2	U2 small nuclear RNA auxiliary factor 2 	1093	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.1				-0.27	-0.27	N/A	NULL
RPE	ENST00000429907.1	ribulose-5-phosphate-3-epimerase 	333	1	0	1	0	1	0	0	1	0	mmu-miR-483-3p.1				-0.26	-0.28	N/A	NULL
DDX6	ENST00000264018.4	DEAD (Asp-Glu-Ala-Asp) box helicase 6 	11	1	0	1	0	3*	0	1	1	1	mmu-miR-483-3p.1				-0.25	-0.41	N/A	NULL
STAT1	ENST00000540176.1	signal transducer and activator of transcription 1, 91kDa 	326	1	0	1	0	1	0	1	0	0	mmu-miR-483-3p.1				-0.25	-0.25	N/A	NULL
GPC2	ENST00000292377.2	glypican 2 	52	1	0	1	0	0	0	0	0	1	mmu-miR-483-3p.1				-0.24	-0.24	N/A	NULL
SLC6A6	ENST00000454876.2	solute carrier family 6 (neurotransmitter transporter), member 6 	280	1	0	1	0	0	0	0	0	2	mmu-miR-483-3p.1				-0.23	-0.25	N/A	NULL
KRAS	ENST00000256078.4	Kirsten rat sarcoma viral oncogene homolog 	40	1	0	0	1	1	0	1	0	0	mmu-miR-483-3p.1				-0.23	-0.40	N/A	NULL
