Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
AL357673.1	ENST00000536061.1	CDNA: FLJ21031 fis, clone CAE07336; HCG1780521; Uncharacterized protein  	5	1	1	0	0	0	mmu-miR-370-3p				-1.06	-1.06	N/A
RUFY4	ENST00000441828.2	RUN and FYVE domain containing 4 	5	3	3	0	0	1	mmu-miR-370-3p				-0.84	-0.84	N/A
CCDC37	ENST00000352312.1	coiled-coil domain containing 37 	5	1	1	0	0	0	mmu-miR-370-3p				-0.83	-0.83	N/A
APOA2	ENST00000491350.1	apolipoprotein A-II 	989	1	1	0	0	0	mmu-miR-370-3p				-0.80	-0.82	N/A
AC140061.12	ENST00000598429.1	Uncharacterized protein  	11	1	0	1	0	0	mmu-miR-370-3p				-0.76	-0.76	N/A
SYNE2	ENST00000358025.3	spectrin repeat containing, nuclear envelope 2 	27	1	1	0	0	0	mmu-miR-370-3p				-0.73	-0.73	N/A
DTYMK	ENST00000305784.2	deoxythymidylate kinase (thymidylate kinase) 	257	1	1	0	0	0	mmu-miR-370-3p				-0.70	-0.70	N/A
CACNA1E	ENST00000526775.1	calcium channel, voltage-dependent, R type, alpha 1E subunit 	5	3	0	2	1	2	mmu-miR-370-3p				-0.69	-0.69	N/A
KRT74	ENST00000549343.1	keratin 74 	5	3	1	1	1	0	mmu-miR-370-3p				-0.68	-0.68	N/A
AC104667.3	ENST00000452801.1		5	3	0	3	0	0	mmu-miR-370-3p				-0.66	-0.66	N/A
CCDC180	ENST00000395220.1	coiled-coil domain containing 180 	10	4	2	1	1	2	mmu-miR-370-3p				-0.66	-0.68	N/A
ATP5C1	ENST00000356708.7	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 	608	1	1	0	0	0	mmu-miR-370-3p				-0.66	-0.66	N/A
BEX5	ENST00000543160.1	brain expressed, X-linked 5 	10	2	0	2	0	0	mmu-miR-370-3p				-0.64	-0.64	N/A
DEFB110	ENST00000371148.2	defensin, beta 110 locus 	5	1	1	0	0	0	mmu-miR-370-3p				-0.64	-0.64	N/A
ARHGAP17	ENST00000441763.2	Rho GTPase activating protein 17 	1337	3	2	1	0	1	mmu-miR-370-3p				-0.63	-0.63	N/A
SYNE1	ENST00000367255.5	spectrin repeat containing, nuclear envelope 1 	144	2	2	0	0	0	mmu-miR-370-3p				-0.63	-0.63	N/A
MAFK	ENST00000343242.4	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K 	322	2	1	1	0	1	mmu-miR-370-3p				-0.63	-0.63	N/A
FTSJ2	ENST00000440306.2	FtsJ RNA methyltransferase homolog 2 (E. coli) 	2880	1	1	0	0	0	mmu-miR-370-3p				-0.63	-0.63	N/A
HDAC4	ENST00000345617.3	histone deacetylase 4 	48	3	0	3	0	2	mmu-miR-370-3p				-0.63	-0.80	N/A
GUCD1	ENST00000447813.2	guanylyl cyclase domain containing 1 	2990	3	0	3	0	0	mmu-miR-370-3p				-0.61	-0.61	N/A
ISY1-RAB43	ENST00000418265.1	ISY1-RAB43 readthrough 	5	3	2	0	1	0	mmu-miR-370-3p				-0.60	-0.61	N/A
DSG2	ENST00000261590.8	desmoglein 2 	810	2	1	1	0	1	mmu-miR-370-3p				-0.60	-0.62	N/A
ARHGAP19	ENST00000358531.4	Rho GTPase activating protein 19 	1051	2	1	1	0	2	mmu-miR-370-3p				-0.60	-0.60	N/A
WNT2B	ENST00000369686.5	wingless-type MMTV integration site family, member 2B 	5	2	0	1	1	1	mmu-miR-370-3p				-0.60	-0.60	N/A
TP53AIP1	ENST00000602346.1	tumor protein p53 regulated apoptosis inducing protein 1 	5	2	1	1	0	1	mmu-miR-370-3p				-0.60	-0.60	N/A
